Question,Answer
"What are the clinic working hours?","The clinic is open Monday to Saturday from 9:00 AM to 6:00 PM."
"How can I book an appointment?","You can book an appointment by calling the clinic reception or visiting the appointment desk."
"What is the consultation fee?","The general consultation fee is ₹500."
"Does the clinic provide blood tests?","Yes, basic blood tests are available at the clinic laboratory."
"Is an appointment required?","Appointments are recommended, but walk-in consultations are available depending on doctor availability."
"Can I cancel my appointment?","Yes. Please contact the reception at least 2 hours before your appointment."
"Does the clinic have a pharmacy?","Yes, the clinic has an in-house pharmacy for commonly prescribed medicines."
"Does the clinic provide emergency services?","The clinic provides basic emergency assistance. For serious emergencies, contact your nearest emergency hospital."
"Which doctors are available?","The clinic has general physicians, pediatricians and dermatology specialists."
"How can I contact the clinic?","You can contact the clinic reception during working hours for appointments and enquiries."
"What services does the clinic provide?","The clinic provides general consultation, pediatric care, dermatology consultation, laboratory testing and pharmacy services."
"How do I reschedule my appointment?","You can reschedule your appointment by contacting the clinic reception during working hours."
"Does the clinic accept walk-in patients?","Yes, walk-in patients are accepted depending on doctor availability."
"What should I bring for my appointment?","Bring your identification, previous medical reports if available, and any relevant prescription documents."
"Does the clinic provide pediatric consultation?","Yes, pediatric consultation is available at the clinic."
"Does the clinic provide dermatology consultation?","Yes, dermatology specialists are available for consultation."
"What are the payment options?","The clinic accepts cash and commonly available digital payment methods."
"How early should I arrive for my appointment?","It is recommended to arrive about 10 to 15 minutes before your scheduled appointment."
"Can I get my laboratory test results online?","Please contact the clinic reception to check the availability of online laboratory reports."
"How can I contact the reception?","You can contact the clinic reception during working hours for appointments and general enquiries."
